S.No.for plant,Plant_type,Fertilizer_type,Dose_(N kg/ha),Ionic_strength_(mol/L),pH_BF_0days,pH_AF_7thdays,pH_AF_30thdays,pH_HD_140days,EC_BF_0days(dS/m),EC_AF_30days(dS/m),EC_AF_140days(dS/m),NH4(g/kg) dw soil,NO3(g/kg) dw soil,P(g/kg) dw soil,SPAD Data (nmol ch/mg fresh weight) ,Al_(ppm)_Leaf,Al_(ppm)_root
1,L,UF,100,0.251,5.35,5.4,4.62,5.18,0.54,0.56,0.55,0.607942985,0.635919807,1.910982838,56.3,-112,72
2,L,UF,100,0.251,5.49,5.42,4.9,4.47,0.6,0.62,0.66,0.650041359,0.548815032,1.881693851,54,-116,104
3,L,UF,100,0.251,5.54,5.46,4.85,4.81,0.76,0.78,0.79,1.551095291,2.195131061,1.733735416,52.4,-52,43
4,L,UF,100,0.251,5.43,5.38,4.94,5.12,0.78,0.8,0.82,-0.009884007,0.014411907,1.288740514,50,-96,120
5,L,UF,100,0.251,5.48,5.42,4.88,4.43,0.91,0.93,0.95,0.372475996,0.570873265,1.592341907,53.2,89,476
6,L,UF,200,0.503,5.52,4.64,4.98,5.07,0.77,0.79,0.8,2.175152177,2.370484319,1.86778263,53.7,0,0
7,L,UF,200,0.503,5.54,4.8,4.81,4.72,0.63,0.65,0.66,0.431569897,0.283646135,1.669210013,47.3,0,0
8,L,UF,200,0.503,5.56,4.78,4.87,4.68,0.56,0.58,0.69,2.027904704,1.552853165,1.982869408,46.8,0,0
9,L,UF,200,0.503,5.58,5.2,4.64,4.35,0.58,0.6,0.62,2.461839208,2.189333027,1.973041538,NA,0,0
10,L,UF,200,0.503,5.6,5.3,4.74,4.93,0.7,0.72,0.75,0.546659152,0.516853436,2.505564397,50.9,0,0
11,L,MF,100,0.028,5.62,5.34,5.92,5.12,0.58,0.6,0.63,0.27973505,0.182590234,1.568310996,49.6,-29,296
12,L,MF,100,0.028,5.64,5.45,5.41,5.47,0.6,0.62,0.62,0.409057325,0.258060625,1.759260456,45.7,-13,403
13,L,MF,100,0.028,5.66,5.49,5.36,5.36,0.58,0.6,0.6,0.419951442,0.193812757,1.40067673,48.9,-27,353
14,L,MF,100,0.028,5.68,5.22,5.06,5.14,0.52,0.54,0.54,0.137951101,0.154956606,1.412546696,41,-9,359
15,L,MF,100,0.028,5.7,5.46,5.69,5.34,0.57,0.59,0.59,0.418893619,0.155328503,1.711507255,43.2,-65,627
16,L,MF,200,0.056,5.72,5.45,4.79,4.93,0.47,0.49,0.58,1.602283755,1.093676944,1.740240836,45.3,-122,0
17,L,MF,200,0.056,5.74,5.42,4.88,4.64,0.55,0.57,0.57,-0.002502564,0.053738385,1.894401821,44.1,464,0
18,L,MF,200,0.056,5.76,5.36,4.77,4.45,0.64,0.66,0.66,0.062315374,0.1398303,1.650398033,48,-95,279
19,L,MF,200,0.056,5.35,5.47,5.42,4.31,0.58,0.6,0.6,1.08682116,1.088321421,1.986673615,47.7,-100,348
20,L,MF,200,0.056,5.49,5.46,5.22,4.54,0.78,0.8,0.8,1.39584024,1.084206397,1.592572332,42.1,-103,537
