S.No,Pot ID,Combined pot id,Plant,Block ,Fertilizer_type ,Dose_(N kg/ha),Application_method,Treatment_Type,Date,Action_Item,Days after sowing,Plant_height(cm),Stem_count(No.),pH_BF_0days,EC_BF_0days(dS/m),Dry_Biomass (gm)__0days,Date,Action_Item,Days after first Dose,pH_2_AF_1stdose(15days),EC_2_AF_1stdose(15days),Date,Action_Item,Days after first dose,pH_3_before_2nddose(30days),EC_3_before_2nddose(30days),Dry_Biomass(gm)_before_2nddose(30days),Date,Action_Item,Days after first Dose,pH_4_after_2nddose(45days),EC_4_pH_4_after_2nddose(45days),CholorophyllContent_66days,pH_5_before_3rddose(60days),EC_5_before_3rddose(60days),Dry_Biomass (gm)_before_3rddose(60days),CholorophyllContent_before_3rddose(60days),Date,Action_Item,pH_6_after_3rddose(70days),EC_6_after_3rddose(70days),CholorophyllContent_95days,Date,Action_Item,Days after third  dose,pH_7_after_3rddose(90days),EC_7_after_3rddose(90days),Date,Action_Item,Days after third  dose,ph_8_atHD_105days,EC_8_atHD_105days,CholorophyllContent__atHD_105days,Dry_shoot_  Biomass(g)__atHD_105days,Dry_root_biomass(g)__atHD_105days,NH?-N (g/kg),NO?-N (g/kg),PO?-P (g/kg)
1,P1,1P1,P,1,None,0,Split,Control,3/09/2024,Before Fertilization ,35,24,2,6.34,0.29,3.66,8/09/2024,Measure ec and ph,5,5.5,0.3,20/09/2024,Measure ec and ph,18,5.06,0.3,4.46,3/10/2024,Second clip (before second split dose),30,5.16,0.21,35.9,5.31,1.75,5.02,37.25,3/11/2024,third clip before third dose,5.29,1.9,37.25,25/11/2024,Measured ph and ec only ,18,5.65,1.75,4/12/2024,Harvest Day,30,5.7,1.53,32.2,6.64,7.82,0.015443077,0.000584308,0.041389535
2,P2,1P2,P,1,UF,20,Split,Fertilizer,3/09/2024,Before Fertilization ,35,28,2,6.2,0.3,3.68,8/09/2024,Measure ec and ph,5,5.77,0.21,20/09/2024,Measure ec and ph,18,5.87,0.21,4.15,3/10/2024,Second clip (before second split dose),30,5.97,0.3,36.2,6.12,2.01,4.87,37.55,3/11/2024,third clip before third dose,5.92,1.53,37.55,25/11/2024,Measured ph and ec only ,18,5.75,2.01,4/12/2024,Harvest Day,30,5.89,2.35,29.6,7.2,6.54,0.001653398,0.001414563,0.041616018
3,P3,1P3,P,1,UF,40,Split,Fertilizer,3/09/2024,Before Fertilization ,35,30,2,6.35,0.36,3.76,8/09/2024,Measure ec and ph,5,4.98,0.211,20/09/2024,Measure ec and ph,18,4.58,0.211,4.41,3/10/2024,Second clip (before second split dose),30,5.21,0.22,36.5,5.36,1.81,5.7,37.85,3/11/2024,third clip before third dose,5.16,1.87,37.85,25/11/2024,Measured ph and ec only ,18,5.12,1.81,4/12/2024,Harvest Day,30,5.18,2.03,37.5,9.25,10.42,0.001315464,0.004580412,0.046735772
4,P4,1P4,P,1,UF,60,Split,Fertilizer,3/09/2024,Before Fertilization ,35,32,2,6.4,0.2,3.852,8/09/2024,Measure ec and ph,5,4.95,0.2,20/09/2024,Measure ec and ph,18,4.99,0.2,4.71,3/10/2024,Second clip (before second split dose),30,6.12,0.29,38.2,6.27,0.9,5.83,39.55,3/11/2024,third clip before third dose,6.07,1.87,39.55,25/11/2024,Measured ph and ec only ,18,5.21,0.9,4/12/2024,Harvest Day,30,5.02,1.5,30.2,8.64,9.88,0.002287387,0.000927027,0.045834986
5,P5,1P5,P,1,UF,80,Split,Fertilizer,3/09/2024,Before Fertilization ,35,29,2,6.28,0.35,3.67,8/09/2024,Measure ec and ph,5,4.84,0.231,20/09/2024,Measure ec and ph,18,4.94,0.231,4.13,3/10/2024,Second clip (before second split dose),30,5.04,0.24,36.2,5.19,1.78,5.45,37.55,3/11/2024,third clip before third dose,4.99,2.39,37.55,25/11/2024,Measured ph and ec only ,18,4.82,1.78,4/12/2024,Harvest Day,30,5,1.67,30.6,8.33,10.19,0.00223119,0.00131865,0.040879167
6,P6,1P6,P,1,UF,100,Split,Fertilizer,3/09/2024,Before Fertilization ,35,34,2,6.31,0.35,3.62,8/09/2024,Measure ec and ph,5,4.96,0.321,20/09/2024,Measure ec and ph,18,4.99,0.321,4.55,3/10/2024,Second clip (before second split dose),30,4.89,0.211,36.1,5.04,1.96,5.97,37.45,3/11/2024,third clip before third dose,4.84,1.92,37.45,25/11/2024,Measured ph and ec only ,18,4.87,1.96,4/12/2024,Harvest Day,30,4.99,3.27,33.6,8.44,12.37,0.00139377,0.003551803,0.040497875
7,P7,1P7,P,1,UF,120,Split,Fertilizer,3/09/2024,Before Fertilization ,35,29,2,6.25,0.35,3.77,8/09/2024,Measure ec and ph,5,4.94,0.231,20/09/2024,Measure ec and ph,18,4.98,0.231,4.46,3/10/2024,Second clip (before second split dose),30,4.78,0.212,35.9,4.93,1.67,5.96,37.25,3/11/2024,third clip before third dose,4.73,1.78,37.25,25/11/2024,Measured ph and ec only ,18,4.888,1.67,4/12/2024,Harvest Day,30,4.78,2.01,31.9,8.81,9.9,0.001247647,0.001877647,0.038507143
8,P8,1P8,P,1,MF,60,One-time,Fertilizer,3/09/2024,Before Fertilization ,35,30,2,6.21,0.23,3.77,8/09/2024,Measure ec and ph,5,4.97,0.221,20/09/2024,Measure ec and ph,18,5.68,0.221,4.15,3/10/2024,Second clip (before second split dose),30,5.1,0.212,35.1,5.25,1.89,5.7,36.45,3/11/2024,third clip before third dose,5.05,1.81,36.45,25/11/2024,Measured ph and ec only ,18,5.56,1.89,4/12/2024,Harvest Day,30,5.54,2.34,36.6,6.59,4.83,0.00184186,0.00389103,0.029322152
9,P9,1P9,P,1,MF,120,One-time,Fertilizer,3/09/2024,Before Fertilization ,35,30,2,6.24,0.32,3.79,8/09/2024,Measure ec and ph,5,4.96,0.211,20/09/2024,Measure ec and ph,18,5.12,0.211,4.12,3/10/2024,Second clip (before second split dose),30,5.01,0.27,36,5.16,1.94,4.84,37.35,3/11/2024,third clip before third dose,4.96,1.84,37.35,25/11/2024,Measured ph and ec only ,18,5,1.94,4/12/2024,Harvest Day,30,5.81,2.5,34,7.22,11.61,0.002933557,0.003078523,0.027377834
10,P10,1P10,P,1,UF,120,One-time,Fertilizer,3/09/2024,Before Fertilization ,35,32,2,6.12,0.36,3.36,8/09/2024,Measure ec and ph,5,4.87,0.32,20/09/2024,Measure ec and ph,18,4.98,0.32,4.4,3/10/2024,Second clip (before second split dose),30,4.89,0.22,35.9,5.04,1.49,5.49,37.25,3/11/2024,third clip before third dose,4.84,1.57,37.25,25/11/2024,Measured ph and ec only ,18,5.4,1.49,4/12/2024,Harvest Day,30,5.41,1.52,21.5,6.81,10.56,0.001798148,0.000823148,0.026208333
