Pot ID,Plant type,Block,Fertilizer type ,Dose  (N kg/ha),Application method,Date,Action Item,Plant height,Stem count Ph,pH_30days,EC (dS/cm)_30days,Fresh Biomass(gm) (30days),Date,Action Item,pH_48days,EC (dS/cm)_48days,Date,Action Item,pH_56days,EC (uS/cm)_56days,Fresh.Biomass (gm)_56days_2ndSplitdose,Cholorphyll content (Spad)_56days,Date,Action Item,pH_65days,EC (uS/cm)_65days
L4,L,1,UF,30,Split,20/09/2024,Before Fertilization ,,,5.33,0.35,4.7848,8/10/2024,after Fertilization ,5.23,1.2,16/10/2024,First clip (before second split dose),5.42,0.75,5.9048,41,25/10/2024,Measured ph and ec only ,5.32,0.85
L2,L,1,UF,10,Split,20/09/2024,Before Fertilization ,,,5.94,0.34,3.5014,8/10/2024,after Fertilization ,5.32,1.21,16/10/2024,First clip (before second split dose),5.01,1.86,4.6214,42.8,25/10/2024,Measured ph and ec only ,4.91,1.96
L8,L,1,MF,30,One-time,20/09/2024,Before Fertilization ,,,5.54,0.32,4.57,8/10/2024,after Fertilization ,5.03,1.22,16/10/2024,First clip (before second split dose),5.26,1.74,5.69,37.5,25/10/2024,Measured ph and ec only ,5.16,1.84
L6,L,1,UF,50,Split,20/09/2024,Before Fertilization ,,,5.65,0.25,5.66,8/10/2024,after Fertilization ,5.12,1.3,16/10/2024,First clip (before second split dose),4.66,1.81,6.78,44.2,25/10/2024,Measured ph and ec only ,4.56,1.91
L9,L,1,MF,60,One-time,20/09/2024,Before Fertilization ,,,5.94,0.31,7.93,8/10/2024,after Fertilization ,5.11,1.08,16/10/2024,First clip (before second split dose),5.51,1.79,9.05,47.9,25/10/2024,Measured ph and ec only ,5.41,1.89
L5,L,1,UF,40,Split,20/09/2024,Before Fertilization ,,,5.68,0.32,7.31,8/10/2024,after Fertilization ,5.13,1.2,16/10/2024,First clip (before second split dose),5.59,1.63,8.43,45.1,25/10/2024,Measured ph and ec only ,5.49,1.73
L3,L,1,UF,20,Split,20/09/2024,Before Fertilization ,,,5.65,0.31,6.39,8/10/2024,after Fertilization ,5.43,1.21,16/10/2024,First clip (before second split dose),5.26,1.66,7.51,45.5,25/10/2024,Measured ph and ec only ,5.16,1.76
L1,L,1,UF,0,Split,20/09/2024,Before Fertilization ,,,5.64,0.29,4.41,8/10/2024,after Fertilization ,5.05,1.23,16/10/2024,First clip (before second split dose),5.48,1.6,5.53,43.3,25/10/2024,Measured ph and ec only ,5.38,1.7
L7,L,1,UF,60,Split,20/09/2024,Before Fertilization ,,,5.78,0.28,4.51,8/10/2024,after Fertilization ,5.12,1.32,16/10/2024,First clip (before second split dose),4.49,1.52,5.63,37.7,25/10/2024,Measured ph and ec only ,4.39,1.62
L10,L,1,UF,30,One-time,20/09/2024,Before Fertilization ,,,5.79,0.24,4.04,8/10/2024,after Fertilization ,4.76,1.43,16/10/2024,First clip (before second split dose),4.76,1.34,5.16,41.3,25/10/2024,Measured ph and ec only ,4.66,1.44
