S.No,Sample Name,Plant,Fertilizer_type ,Dose_(N kg/ha),Application_method,Treatment_Type,C:N_Root,C:N_Leaf,C:N_Soil,MB_Soil conc (ug C/g),MB_Soil conc (ug N/g),MB_Soil conc (ug P/g),Soil conc (ug P/g)(NF)
1,1P1,P,None,0,Split,Control,31.38926228,19.02561445,7.971486559,117.9152183,14.79212408,6.506008292,41.38953488
2,1P2,P,UF,20,Split,Fertilizer,29.67777072,19.25422968,8.233189086,127.2142077,15.45138906,7.251668206,41.61601796
3,1P3,P,UF,40,Split,Fertilizer,24.23200147,16.91245355,10.56847236,147.9725032,14.00131431,193.6765476,46.73577236
4,1P4,P,UF,60,Split,Fertilizer,27.29096147,17.99188763,8.877590716,106.564891,12.00380761,4.117856542,45.83498584
5,1P5,P,UF,80,Split,Fertilizer,20.5781996,13.56628596,8.236733379,72.94043748,8.855505469,6.989744508,40.87916667
6,1P6,P,UF,100,Split,Fertilizer,22.72947012,12.76573519,7.932697549,109.8237514,13.84443951,5.709861036,40.49787535
7,1P7,P,UF,120,Split,Fertilizer,22.32711709,12.86602855,8.801445616,95.61006867,10.86299602,13.03364662,38.50714286
8,1P8,P,MF,60,One-time,Fertilizer,27.53994866,18.10679141,8.223377592,128.3232323,15.60468687,12.9590981,29.3221519
9,1P9,P,MF,120,One-time,Fertilizer,33.62217682,22.32450174,7.687269158,144.4836898,18.7951907,18.21159183,27.37783375
10,1P10,P,UF,120,One-time,Fertilizer,34.38739391,23.83213879,7.420285824,106.3736264,14.33551603,18.03000864,26.20833333
11,2P1,P,None,0,Split,Control,40.93313458,28.60383747,5.932001822,122.1683641,20.59479544,5.19280143,45.06617647
12,2P2,P,UF,20,Split,Fertilizer,27.74571662,19.30438889,7.192471168,146.1114246,20.3144957,168.0918768,49.48188406
13,2P3,P,UF,40,Split,Fertilizer,29.76455862,14.29956055,6.718487347,108.3195442,16.12260895,3.800651626,43.56521739
14,2P4,P,UF,60,Split,Fertilizer,27.29096147,12.98270032,7.810870797,115.1497696,14.74224483,16.04054757,36.41885965
15,2P5,P,UF,80,Split,Fertilizer,23.50558659,14.1466962,7.856123513,146.8581605,18.6934638,8.351697003,44.34715026
16,2P6,P,UF,100,Split,Fertilizer,27.1347137,14.58959986,7.597083502,146.4764493,19.28061594,20.25607528,29.80324675
17,2P7,P,UF,120,Split,Fertilizer,22.41862207,10.02129327,8.600466189,79.56824117,9.251619554,11.19419334,35.39835165
18,2P8,P,MF,60,One-time,Fertilizer,33.6587133,23.17425878,6.779834382,138.041986,20.36067229,13.94918948,39.65706052
19,2P9,P,MF,120,One-time,Fertilizer,32.70004588,21.18456891,7.726637767,123.1976249,15.94453224,10.41155039,35.54844961
20,2P11,P,UF,120,One-time,Fertilizer,21.75811942,10.76992875,8.341055692,106.3270704,12.74743561,9.830699482,41.81930052
21,3P1,P,None,0,Split,Control,32.37066853,22.69292461,8.119875212,140.8354074,17.34452854,3.602932099,38.0625
22,3P2,P,UF,20,Split,Fertilizer,33.66130747,25.44581786,7.863838917,122.6866146,15.60136415,18.32362689,25.19128788
23,3P3,P,UF,40,Split,Fertilizer,29.74515753,25.36946713,6.910198799,142.7799491,20.66220571,11.12077436,34.46475196
24,3P4,P,UF,60,Split,Fertilizer,45.92555686,27.71269873,7.457902096,167.224972,22.42252176,8.966568361,29.21866841
25,3P5,P,UF,80,Split,Fertilizer,27.59731286,16.86537995,6.986205355,94.55487268,13.53451092,16.22784551,33.63848397
