S.No,Block,Modified Pot Id,Fertilizer type,Dose  (N kg/ha),Application method,Fresh Biomass_shoot  ,Shoot Dry weight (g),Fresh_Biomass_root,Root Dry weight (g)
1,1,1L1,Control,0,Split,15.29,6.46,11.65,5.9
2,1,1L2,UF,10,Split,9.78,4.85,6.8,4.37
3,1,1L3,UF,20,Split,18.44,7.03,11.64,6.36
4,1,1L4,UF,30,Split,13.6,6.41,10.41,5.63
5,1,1L5,UF,40,Split,16.94,7.32,13.34,6.72
6,1,1L6,UF,50,Split,18.35,7.51,11.45,5.92
7,1,1L7,UF,60,Split,9.58,5.01,6.11,4.17
8,1,1L8,MF,30,One-time,12.95,5.79,8.44,5.05
9,1,1L9,MF,60,One-time,13.3,6.2,14.29,6.9
10,1,1L10,UF,30,One-time,13.8,6.5,10,5.94
11,2,2L1,Control,0,Split,15,6.3,11.156,6.08
12,2,2L2,UF,10,Split,16.56,6.58,10.02,5.3
13,2,2L3,UF,20,Split,18.65,7.76,13.74,6.6
14,2,2L4,UF,30,Split,18.44,8.22,16.34,6.95
15,2,2L5,UF,40,Split,11.81,5.44,7.68,4.51
16,2,2L6,UF,50,Split,17.31,7.24,11.86,5.4
17,2,2L7,UF,60,Split,16.76,7.52,13.77,6.47
18,2,2L8,MF,30,One-time,16.17,6.96,12.79,6.35
19,2,2L9,MF,60,One-time,14.41,5.97,10.14,5.63
20,2,2L11,UF,60,One-time,14.85,7.22,12.97,6.31
21,3,3L1,Control,0,Split,10.66,5.88,10.55,5.1
22,3,3L2,UF,10,Split,17.17,7.62,14.23,7.14
23,3,3L3,UF,20,Split,13.2,7.11,15.2,6.49
24,3,3L4,UF,30,Split,18.38,8.48,20.72,8.74
25,3,3L5,UF,40,Split,16.05,7.06,14.61,6.24
26,3,3L6,UF,50,Split,16.2,7.37,15.58,6.85
27,3,3L7,UF,60,Split,20.21,8.6,16.18,7.18
28,3,3L10,UF,30,One-time,17.52,7.58,14.11,6.51
29,3,3L11,UF,60,One-time,13.44,7.16,15.4,6.38
30,4,4L1,Control,0,Split,16.04,7.2,12.24,5.74
31,4,4L2,UF,10,Split,14.92,6.69,11.71,6.05
32,4,4L3,UF,20,Split,13.05,6.95,15.37,5.88
33,4,4L4,UF,30,Split,16.64,7.28,14.18,7.06
34,4,4L5,UF,40,Split,16.79,7.56,16.53,6.59
35,4,4L6,UF,50,Split,16.35,7.24,11.32,7.56
36,4,4L7,UF,60,Split,16.44,7.8,18.17,6.04
37,4,4L9,MF,60,One-time,13.93,5.05,15.69,7.09
38,4,4L10,UF,30,One-time,17.55,6.74,12.05,6.87
39,5,5L1,Control,0,Split,16.32,5.86,11.71,5.97
40,5,5L2,UF,10,Split,13.87,7.71,11.11,5.37
41,5,5L3,UF,20,Split,15,6.99,14.03,6.01
42,5,5L4,UF,30,Split,18.38,8.1,14.42,6.72
43,5,5L5,UF,40,Split,19.38,7.74,12.51,6.49
44,5,5L6,UF,50,Split,10.54,5.89,17.69,7.41
45,5,5L7,UF,60,Split,17.38,8.06,14.2,6.41
46,5,5L8,MF,30,One-time,13.71,6.513,11.79,5.7
47,5,5L11,UF,60,One-time,14.74,6.7,10.83,5.9
