S.No,Pot ID,Plant type,Combined pot id,Block,Fertilizer type ,Dose  (N kg/ha),Treatment code,Application_method,Treatment_Type,Date,Action Item,pH_BF,EC_BF,Fresh_Biomass_1,Dry_Biomass_1,Date,Action Item,Days after First dose,pH_1(AF_1st_Split),EC_1(AF_1st_Split),Date,Action Item,Days after First dose,pH_2(AF_1st_Split),EC_2(AF_1st_Split),Date,Action Item,Day after first dose ,pH_3_AF_2nd_Split,EC_3_AF_2nd_Split,Fresh_Biomass _2,Dry_Biomass _2,Cholorphyll_content(Before2ndDose),Date,Action Item,Days after second dose,pH_4_AF_2nd_Split,EC_4_AF_2nd_Split,Date,Action Item,Days after seond dose ,pH_5_AF_3nd_Split,EC_5_AF_3nd_Split,Cholorphyll_content(Before3rdDose),Fresh_Biomass_3,Dry_Biomass_3,Date,Action Item,Days_after_third_dose,pH_6_AF_3nd_Split,EC_6_AF_3nd_Split,Date,Action Item,Days_after_third_dose,pH_7_AF_3nd_Split,EC_7_AF_3nd_Split,Date,Action Item,pH_8_atHarvestDay,EC _atHarvestDay,Cholorphyll_content(HarvestDay),Fresh_Biomass_4,Dry_Biomass_shoot_4,Fresh_Biomass_root_118days,Dry_Biomass_root_118days,Nodules_count,Lechates Ph,Lechates EC,PH Chang,Root:shoot Ratio,Potential Yield lost,COMMENT,Notes,
1,L1,L,1L1,1,None,0,1,Split,Control,20/09/2024,Before Fertilization ,5.64,0.29,5.5,3.76,8/10/2024,AF_1st_Split,6,5.05,1.23,26/10/2024,after Fertilization first split dose ,18,4.95,1.23,16/10/2024,First clip (before second split dose),30,5.48,1.6,5.53,4.07,43.3,25/10/2024,Measured ph and ec only ,9,5.38,1.7,16/11/2024,third clip (before third  split dose),30,6.12,1.96,44.03,11.59,5.02,21/11/2024,ph/ec only,6,5.4,1.84,8/12/2024,ph/ec only,18,5.5,1.84,16/12/2024,Harvest Day,5.5,1.84,41.6,15.29,6.46,11.65,5.9,0,6.5,920,-0.14,0.913312693,0.11315,,,
2,L2,L,1L2,1,UF,10,2,Split,Fertilizer,20/09/2024,Before Fertilization ,5.94,0.34,5.1,3.77,8/10/2024,after Fertilization first split dose ,6,5.32,1.21,26/10/2024,after Fertilization first split dose ,18,5.22,1.21,16/10/2024,First clip (before second split dose),30,5.01,1.86,4.6214,5.39,42.8,25/10/2024,Measured ph and ec only ,9,4.91,1.96,16/11/2024,third clip (before third  split dose),30,5.9,1.96,43.53,8.393,4.32,21/11/2024,ph/ec only,6,5.72,1.96,8/12/2024,ph/ec only,18,5.82,1.96,16/12/2024,Harvest Day,5.82,1.96,52,9.78,4.85,6.8,4.37,0,6.82,794,-0.12,0.901030928,0.11826,Note,,
3,L3,L,1L3,1,UF,20,3,Split,Fertilizer,20/09/2024,Before Fertilization ,5.65,0.31,5.3,3.87,8/10/2024,after Fertilization first split dose ,6,5.43,1.21,26/10/2024,after Fertilization first split dose ,18,5.33,1.21,16/10/2024,First clip (before second split dose),30,5.26,1.66,7.51,4.42,45.5,25/10/2024,Measured ph and ec only ,9,5.16,1.76,16/11/2024,third clip (before third  split dose),30,5.26,0.85,46.23,14.939,5.45,21/11/2024,ph/ec only,6,5.33,1.96,8/12/2024,ph/ec only,18,5.43,1.96,16/12/2024,Harvest Day,5.43,1.96,55.6,18.44,7.03,11.64,6.36,2,6.43,1025,-0.22,0.904694168,0.12045,Water used,,
4,L4,L,1L4,1,UF,30,4,Split,Fertilizer,20/09/2024,Before Fertilization ,5.33,0.35,4.7848,3.84,8/10/2024,after Fertilization first split dose ,6,5.23,1.2,26/10/2024,after Fertilization first split dose ,18,5.13,1.2,16/10/2024,First clip (before second split dose),30,5.42,0.75,5.9048,4.16,41,25/10/2024,Measured ph and ec only ,9,5.32,0.85,16/11/2024,third clip (before third  split dose),30,5.67,0.85,41.73,9.379,4.72,21/11/2024,ph/ec only,6,5.49,0.85,8/12/2024,ph/ec only,18,5.59,0.85,16/12/2024,Harvest Day,5.59,0.85,47.3,13.6,6.41,10.41,5.63,2,6.59,1746,0.26,0.878315133,0.0365,EC ,228 uS/cm,All EC UNIT IS Us/cm
5,L5,L,1L5,1,UF,40,5,Split,Fertilizer,20/09/2024,Before Fertilization ,5.68,0.32,5.3,3.7,8/10/2024,after Fertilization first split dose ,6,5.13,1.2,26/10/2024,after Fertilization first split dose ,18,5.03,1.2,16/10/2024,First clip (before second split dose),30,5.59,1.63,8.43,4.4,45.1,25/10/2024,Measured ph and ec only ,9,5.49,1.73,16/11/2024,third clip (before third  split dose),30,4.8,1.76,45.83,16.278,5.69,21/11/2024,ph/ec only,6,5.43,0.85,8/12/2024,ph/ec only,18,5.53,0.85,16/12/2024,Harvest Day,5.53,0.85,38.6,16.94,7.32,13.34,6.72,1,6.53,875,-0.15,0.918032787,0.03869,PH,7.5,
6,L6,L,1L6,1,UF,50,6,Split,Fertilizer,20/09/2024,Before Fertilization ,5.65,0.25,5.66,3.79,8/10/2024,after Fertilization first split dose ,6,5.12,1.3,26/10/2024,after Fertilization first split dose ,18,5.02,1.3,16/10/2024,First clip (before second split dose),30,4.66,1.81,6.78,4.3,44.2,25/10/2024,Measured ph and ec only ,9,4.56,1.91,16/11/2024,third clip (before third  split dose),30,4.78,1.89,44.93,14.536,5.2,21/11/2024,ph/ec only,6,4.87,1.44,8/12/2024,ph/ec only,18,4.97,1.44,16/12/2024,Harvest Day,4.97,1.44,64.9,18.35,7.51,11.45,5.92,3,5.97,759,-0.68,0.78828229,0.08687,,,
7,L7,L,1L7,1,UF,60,7,Split,Fertilizer,20/09/2024,Before Fertilization ,5.78,0.28,4.98,3.77,8/10/2024,after Fertilization first split dose ,6,5.12,1.32,26/10/2024,after Fertilization first split dose ,18,5.02,1.32,16/10/2024,First clip (before second split dose),30,4.49,1.52,5.63,4.06,37.7,25/10/2024,Measured ph and ec only ,9,4.39,1.62,16/11/2024,third clip (before third  split dose),30,5.01,1.84,38.43,8.019,4.28,21/11/2024,ph/ec only,6,4.42,1.44,8/12/2024,ph/ec only,18,4.52,1.44,16/12/2024,Harvest Day,4.52,1.44,38,9.58,5.01,6.11,4.17,1,5.52,827,-1.26,0.832335329,0.08468,,,
8,L8,L,1L8,1,MF,30,8,One-time,Fertilizer,20/09/2024,Before Fertilization ,5.54,0.32,4.79,3.83,8/10/2024,after Fertilization first split dose ,6,5.03,1.22,26/10/2024,after Fertilization first split dose ,18,4.93,1.22,16/10/2024,First clip (before second split dose),30,5.26,1.74,5.69,4.06,37.5,25/10/2024,Measured ph and ec only ,9,5.16,1.84,16/11/2024,third clip (before third  split dose),30,6.02,1.91,38.23,10.203,4.56,21/11/2024,ph/ec only,6,5.19,1.84,8/12/2024,ph/ec only,18,5.29,1.84,16/12/2024,Harvest Day,5.29,1.84,39.6,12.95,5.79,8.44,5.05,0,6.29,949,-0.25,0.872193437,0.11096,,,
9,L9,L,1L9,1,MF,60,9,One-time,Fertilizer,20/09/2024,Before Fertilization ,5.94,0.31,4.98,3.9,8/10/2024,after Fertilization first split dose ,6,5.11,1.08,26/10/2024,after Fertilization first split dose ,18,5.01,1.08,16/10/2024,First clip (before second split dose),30,5.51,1.79,9.05,4.61,47.9,25/10/2024,Measured ph and ec only ,9,5.41,1.89,16/11/2024,third clip (before third  split dose),30,5.98,1.73,48.63,12.242,5.02,21/11/2024,ph/ec only,6,5.77,1.76,8/12/2024,ph/ec only,18,5.87,1.76,16/12/2024,Harvest Day,5.87,1.76,53.3,13.3,6.2,14.29,6.9,0,6.87,872,-0.07,1.112903226,0.10585,,,
10,L10,L,1L10,1,UF,30,10,One-time,Fertilizer,20/09/2024,Before Fertilization ,5.79,0.24,4.7848,3.8,8/10/2024,after Fertilization first split dose ,6,4.76,1.43,26/10/2024,after Fertilization first split dose ,18,4.66,1.43,16/10/2024,First clip (before second split dose),30,4.76,1.34,5.16,4.14,41.3,25/10/2024,Measured ph and ec only ,9,4.66,1.44,16/11/2024,third clip (before third  split dose),30,4.89,1.44,42.03,12.395,5.21,21/11/2024,ph/ec only,6,5.57,1.76,8/12/2024,ph/ec only,18,5.67,1.76,16/12/2024,Harvest Day,5.67,1.76,52.1,13.8,6.5,10,5.94,4,6.67,1457,-0.12,0.913846154,0.11096,,,
