S.No,Sample Name,Block,Fertilizer type ,Dose  (N kg/ha),Application_method,Treatment_Type,TimePoint,Soil available Fumigated C (mg/kg),Soil available fumigated  N (mg/kg),Soil available NonFumigated C (mg/kg),Soil available Nonfumigated  N (mg/kg),MBC (mg/kg),MBN (mg/kg)
1,1L1F,1,None,0,Split,Control,HarvestDay,222.9585547,30.77229782,92.23352785,9.576781631,130.7250269,21.19551619
2,1L2F,1,UF,10,Split,Fertilizer,HarvestDay,205.1852424,23.66966271,100.3664931,12.20971137,104.8187493,11.45995134
3,1L3F,1,UF,20,Split,Fertilizer,HarvestDay,222.0152343,31.60255561,85.03114167,9.346818262,136.9840926,22.25573735
4,1L4F,1,UF,30,Split,Fertilizer,HarvestDay,197.9120676,26.98041552,67.46601208,9.159022245,130.4460556,17.82139328
5,1L5F,1,UF,40,Split,Fertilizer,HarvestDay,239.4437046,30.14146489,108.1016949,20.01355932,131.3420097,10.12790557
6,1L6F,1,UF,50,Split,Fertilizer,HarvestDay,259.6864605,36.23170377,95.27234034,13.61757816,164.4141202,22.61412562
7,1L7 F,1,UF,60,Split,Fertilizer,HarvestDay,239.7930006,41.95612669,92.01835869,26.84839453,147.7746419,15.10773216
8,1L8F,1,MF,30,One-time,Fertilizer,HarvestDay,214.1517546,29.02300048,93.03219331,9.246664806,121.1195613,19.77633568
9,1L9F,1,MF,60,One-time,Fertilizer,HarvestDay,256.6876237,33.32743304,70.06614303,8.424332544,186.6214807,24.9031005
10,1L10F,1,UF,30,One-time,Fertilizer,HarvestDay,249.4744565,30.86967178,79.82451068,12.42212891,169.6499459,18.44754287
11,2L1F,2,None,0,Split,Control,HarvestDay,242.7999482,33.79484298,87.48458823,9.880612318,155.3153599,23.91423066
12,2L2F,2,UF,10,Split,Fertilizer,HarvestDay,205.3969135,29.74127294,92.2336363,10.96161293,113.1632772,18.77966001
13,2L3F,2,UF,20,Split,Fertilizer,HarvestDay,245.1930862,30.54308341,82.47858864,11.4825109,162.7144976,19.0605725
14,2L4F,2,UF,30,Split,Fertilizer,HarvestDay,255.2742995,30.93263302,92.70337807,13.69392257,162.5709214,17.23871046
15,2L5F,2,UF,40,Split,Fertilizer,HarvestDay,212.2942399,45.00464186,94.8864996,43.34654423,117.4077403,1.658097634
16,2L6F,2,UF,50,Split,Fertilizer,HarvestDay,238.2534527,32.09562376,77.85522375,14.5350893,160.398229,17.56053446
17,2L7F,2,UF,60,Split,Fertilizer,HarvestDay,218.2664434,30.34296888,91.57062895,13.71681888,126.6958145,16.62615
18,2L8F,2,MF,30,One-time,Fertilizer,HarvestDay,233.9057558,28.43592999,75.90528913,8.886876511,158.0004667,19.54905348
19,2L9F,2,MF,60,One-time,Fertilizer,HarvestDay,228.7806212,27.89257962,73.17538251,7.979693297,155.6052387,19.91288633
20,2L11F,2,UF,60,One-time,Fertilizer,HarvestDay,236.3079552,27.56398199,83.19540322,9.7927397,153.112552,17.77124229
