S.No,Pot ID,Plant_type,Block,Block ,Plant,Treatment,Combined pot id,Fertilizer_type ,Dose_(N kg/ha),Application_method,Date,Action_Item,Days after sowing,Plant_height(cm),Stem_count(No.),pH_1,EC_1,Fresh_Biomass (gm)_35days,Dry_Biomass (gm)_35days,Date,Action_Item,Days after first Dose,pH_2 ,EC_2,Date,Action_Item,Days after first dose,pH_3,EC_3,Date,Action_Item,Days after first Dose,pH_4,EC_4,CholorophyllContent_66days,Fresh_Biomass(gm)_66days,Dry_Biomass(gm)_66days,Date,Action_Item,Days after second dose,pH_5,EC_5,Date,Action_Item,pH_6,EC_6,Date,Action_Item,pH_7,EC_7,CholorophyllContent_95days,Fresh_Biomass (gm)_95days,Dry_Biomass (gm)_95days,Date,Action_Item,Days after third  dose,pH_8,EC_8,Date,Action_Item,Days after third  dose,pH_9,EC_9,Date,Action_Item,Days after third  dose,ph_10,EC_10,CholorophyllContent_125daysHD,Fresh_shoot_  Biomass(g)_125daysHD ,Dry_shoot_  Biomass(g)_125daysHD ,Fresh_root_biomass(g)_125daysHD,Dry_root_biomass(g)_125daysHD,Lechates_Ph_125daysHD,Lechates_EC_125daysHD(Us/cm),Notes
1,P1,P,1,1,P,1,1P1,Control,0,Split,3/09/2024,Before Fertilization ,35,24,2,6.34,0.29,6.33,3.66,8/09/2024,Measure ec and ph,5,4.96,0.3,20/09/2024,Measure ec and ph,18,5.06,0.3,3/10/2024,Second clip (before second split dose),30,5.16,0.21,35.9,9.17,4.46,15/10/2024,Measured ph and ec only ,,5.06,0.31,25/10/2024,Measured ph and ec only ,5.2,1.75,3/11/2024,third clip before third dose,5.1,1.9,37.25,12.19,5.02,9/11/2024,Measured ph and ec only ,6,5.06,0.31,25/11/2024,Measured ph and ec only ,18,5.2,1.75,4/12/2024,Harvest Day,30,5.7,1.53,32.2,18.12,6.64,28.26,7.82,6.1,875,
2,P2,P,1,1,P,2,1P2,UF,20,Split,3/09/2024,Before Fertilization ,35,28,2,6.2,0.3,5.744,3.68,8/09/2024,Measure ec and ph,5,5.77,0.21,20/09/2024,Measure ec and ph,18,5.87,0.21,3/10/2024,Second clip (before second split dose),30,5.97,0.3,36.2,7.044,4.15,15/10/2024,Measured ph and ec only ,,5.87,0.4,25/10/2024,Measured ph and ec only ,5.75,2.01,3/11/2024,third clip before third dose,5.65,1.53,37.55,12.38,4.87,9/11/2024,Measured ph and ec only ,6,5.87,0.4,25/11/2024,Measured ph and ec only ,18,5.75,2.01,4/12/2024,Harvest Day,30,5.89,2.35,29.6,20.25,7.2,11.36,6.54,6.12,1100,PH= 7.05
3,P3,P,1,1,P,3,1P3,UF,40,Split,3/09/2024,Before Fertilization ,35,30,2,6.35,0.36,5.98,3.76,8/09/2024,Measure ec and ph,5,4.48,0.211,20/09/2024,Measure ec and ph,18,4.58,0.211,3/10/2024,Second clip (before second split dose),30,4.68,0.22,36.5,8.88,4.41,15/10/2024,Measured ph and ec only ,,4.58,0.32,25/10/2024,Measured ph and ec only ,4.46,1.81,3/11/2024,third clip before third dose,4.36,1.87,37.85,18.18,5.7,9/11/2024,Measured ph and ec only ,6,4.58,0.32,25/11/2024,Measured ph and ec only ,18,4.46,1.81,4/12/2024,Harvest Day,30,5.18,2.03,37.5,29.36,9.25,27.37,10.42,5.97,872,
4,P4,P,1,1,P,4,1P4,UF,60,Split,3/09/2024,Before Fertilization ,35,32,2,6.4,0.2,6.7,3.852,8/09/2024,Measure ec and ph,5,5.92,0.2,20/09/2024,Measure ec and ph,18,6.02,0.2,3/10/2024,Second clip (before second split dose),30,6.12,0.29,38.2,10.67,4.71,15/10/2024,Measured ph and ec only ,,6.02,0.39,25/10/2024,Measured ph and ec only ,5.9,0.9,3/11/2024,third clip before third dose,5.8,1.87,39.55,17.54,5.83,9/11/2024,Measured ph and ec only ,6,6.02,0.39,25/11/2024,Measured ph and ec only ,18,5.9,0.9,4/12/2024,Harvest Day,30,5.7,1.5,30.2,27.22,8.64,32.4,9.88,5.99,727,WATER DETAILS FOR IRRIGATION 
5,P5,P,1,1,P,5,1P5,UF,80,Split,3/09/2024,Before Fertilization ,35,29,2,6.28,0.35,6.41,3.67,8/09/2024,Measure ec and ph,5,4.84,0.231,20/09/2024,Measure ec and ph,18,4.94,0.231,3/10/2024,Second clip (before second split dose),30,5.04,0.24,36.2,7.71,4.13,15/10/2024,Measured ph and ec only ,,4.94,0.34,25/10/2024,Measured ph and ec only ,4.82,1.78,3/11/2024,third clip before third dose,4.72,2.39,37.55,18.52,5.45,9/11/2024,Measured ph and ec only ,6,4.94,0.34,25/11/2024,Measured ph and ec only ,18,4.82,1.78,4/12/2024,Harvest Day,30,5.29,1.67,30.6,27.83,8.33,25.63,10.19,6.08,759,
6,P6,P,1,1,P,6,1P6,UF,100,Split,3/09/2024,Before Fertilization ,35,34,2,6.31,0.35,6.32,3.62,8/09/2024,Measure ec and ph,5,5.28,0.321,20/09/2024,Measure ec and ph,18,5.38,0.321,3/10/2024,Second clip (before second split dose),30,5.48,0.211,36.1,8.834,4.55,15/10/2024,Measured ph and ec only ,,5.38,0.311,25/10/2024,Measured ph and ec only ,5.26,1.96,3/11/2024,third clip before third dose,5.16,1.92,37.45,19.15,5.97,9/11/2024,Measured ph and ec only ,6,5.38,0.311,25/11/2024,Measured ph and ec only ,18,5.26,1.96,4/12/2024,Harvest Day,30,5.14,3.27,33.6,29.72,8.44,30.06,12.37,5.98,794,
7,P7,P,1,1,P,7,1P7,UF,120,Split,3/09/2024,Before Fertilization ,35,29,2,6.25,0.35,6.7,3.77,8/09/2024,Measure ec and ph,5,5.01,0.231,20/09/2024,Measure ec and ph,18,5.11,0.231,3/10/2024,Second clip (before second split dose),30,5.21,0.212,35.9,9.1807,4.46,15/10/2024,Measured ph and ec only ,,5.11,0.312,25/10/2024,Measured ph and ec only ,4.99,1.67,3/11/2024,third clip before third dose,4.89,1.78,37.25,18.64,5.96,9/11/2024,Measured ph and ec only ,6,5.11,0.312,25/11/2024,Measured ph and ec only ,18,4.99,1.67,4/12/2024,Harvest Day,30,4.34,2.01,31.9,28.04,8.81,20.73,9.9,5.55,1025,
8,P8,P,1,1,P,8,1P8,MF,60,One-time,3/09/2024,Before Fertilization ,35,30,2,6.21,0.23,5.717,3.77,8/09/2024,Measure ec and ph,5,5.58,0.221,20/09/2024,Measure ec and ph,18,5.68,0.221,3/10/2024,Second clip (before second split dose),30,5.78,0.212,35.1,7.017,4.15,15/10/2024,Measured ph and ec only ,,5.68,0.312,25/10/2024,Measured ph and ec only ,5.56,1.89,3/11/2024,third clip before third dose,5.46,1.81,36.45,17.97,5.7,9/11/2024,Measured ph and ec only ,6,5.68,0.312,25/11/2024,Measured ph and ec only ,18,5.56,1.89,4/12/2024,Harvest Day,30,5.54,2.34,36.6,16.11,6.59,27.57,4.83,5.34,1746,EC=346.2 uS. 
9,P9,P,1,1,P,9,1P9,MF,120,One-time,3/09/2024,Before Fertilization ,35,30,2,6.24,0.32,6.98,3.79,8/09/2024,Measure ec and ph,5,5.02,0.211,20/09/2024,Measure ec and ph,18,5.12,0.211,3/10/2024,Second clip (before second split dose),30,5.22,0.27,36,7.2502,4.12,15/10/2024,Measured ph and ec only ,,5.12,0.37,25/10/2024,Measured ph and ec only ,5,1.94,3/11/2024,third clip before third dose,4.9,1.84,37.35,11.37,4.84,9/11/2024,Measured ph and ec only ,6,5.12,0.37,25/11/2024,Measured ph and ec only ,18,5,1.94,4/12/2024,Harvest Day,30,5.81,2.5,34,18.95,7.22,28.9,11.61,6.01,949,
10,P10,P,1,1,P,10,1P10,UF,120,One-time,3/09/2024,Before Fertilization ,35,32,2,6.12,0.36,5.744,3.36,8/09/2024,Measure ec and ph,5,5.42,0.32,20/09/2024,Measure ec and ph,18,5.52,0.32,3/10/2024,Second clip (before second split dose),30,5.62,0.22,35.9,5.59,4.4,15/10/2024,Measured ph and ec only ,,5.52,0.32,25/10/2024,Measured ph and ec only ,5.4,1.49,3/11/2024,third clip before third dose,5.3,1.57,37.25,14.61,5.49,9/11/2024,Measured ph and ec only ,6,5.52,0.32,25/11/2024,Measured ph and ec only ,18,5.4,1.49,4/12/2024,Harvest Day,30,5.41,1.52,21.5,18.64,6.81,19.31,10.56,5.9,920,
