   S.No.,Sample Id,Plant type,Combined pot id,Block,Plant,Fertilizer type ,Dose  (N kg/ha),Treatment code,Application_method,Treatment_Type,                    Date &Time,Shoot_Si     (%),Shoot_Na(ppm),Shoot_Mg    (ppm),Shoot_Al   (ppm),Shoot_P   (ppm)  ,Shoot_K    (ppm)  ,Shoot_Ca  (ppm)   ,Shoot_Fe    (ppm),Shoot_Cl     (ppm),Shoot_SiO2 (%),Shoot_Ag     (cps)),Shoot_Cu (ppm),Shoot_Mn   (ppm),Shoot_S  (ppm)   ,Shoot_Zn  (ppm),Root_Si(%),Root_Na(ppm),Root_Mg(ppm),Root_Al   (ppm),Root_P   (ppm)  ,Root_K    (ppm)  ,Root_Ca  (ppm)   ,Root_Fe    (ppm),Root_Cl     (ppm),Root_SiO2 (%),Root_Ag     (cps)),Root_Cu (ppm),Root_Mn   (ppm),Root_S  (ppm)   ,Root_Zn  (ppm)
1,L1P1                           ,P,1L1,1,L,None,0,1,Split,Control,30/01/2025 20:49,1.213,5401,152,34,2360,29448,2715,260,42024,2.6,483.95,6,157,4947,58,5.392,465,1496,810,837,5889,1921,1522,8557,11.53,672.836,18,299,531,223
2,L1P2                           ,P,1L2,1,L,UF,10,2,Split,Fertilizer,30/01/2025 16:04,0.949,6193,-90,85,1717,23736,3694,302,47130,2.03,483.209,6,77,4682,47,10.237,-804,1647,1115,-561,2673,849,1854,5764,21.9,507.718,9,181,-786,116
3,L1P3                           ,P,1L3,1,L,UF,20,3,Split,Fertilizer,30/01/2025 18:44,0.609,3698,700,143,958,11884,3751,56,30965,1.3,358.377,4,82,4156,65,9.634,-206,1514,1390,-295,3694,1313,1899,8609,20.61,629.321,9,289,-139,192
4,L1P4                           ,P,1L4,1,L,UF,30,4,Split,Fertilizer,30/01/2025 16:39,0.696,6878,-249,30,1836,23542,3710,-17,50580,1.49,598.366,6,138,4106,55,12.646,-822,1560,1715,-740,2381,998,2541,6711,27.05,727.502,8,417,-1044,109
5,L1P5                           ,P,1L5,1,L,UF,40,5,Split,Fertilizer,30/01/2025 18:58,0.676,5545,50,61,1526,22156,4772,174,41515,1.45,545.659,5,118,3669,58,16.987,-1423,1675,1705,-1555,2255,858,2570,5534,36.33,938.852,6,265,-1488,89
6,L1P6                           ,P,1L6,1,L,UF,50,6,Split,Fertilizer,30/01/2025 19:11,1.037,6118,46,127,1515,22689,6395,10,46220,2.22,494.889,6,222,4392,83,9.984,3,1429,1367,-485,2846,1413,1822,10489,21.36,611.459,8,632,-199,182
7,L1P7                           ,P,1L7,1,L,UF,60,7,Split,Fertilizer,30/01/2025 19:42,0.564,5667,174,67,1511,20720,6161,-152,43321,1.21,451.381,5,237,3905,74,16.824,-1733,1733,1917,-1735,1096,960,1710,4377,35.99,735.504,6,591,-1796,68
8,L1P8                           ,P,1L8,1,L,MF,30,8,One-time,Fertilizer,30/01/2025 17:12,1.173,4641,478,86,1529,25929,3948,449,34843,2.51,591.694,6,149,6242,94,5.576,663,1442,533,533,5348,1440,1862,10922,11.93,497.495,17,249,1722,299
9,L1P9                           ,P,1L9,1,L,MF,60,9,One-time,Fertilizer,30/01/2025 16:32,0.994,5420,241,25,1584,25487,4372,102,41160,2.13,625.439,6,133,7421,31,12.333,-851,1627,1143,-732,3765,668,3080,6466,26.38,691.14,10,227,-845,137
10,L1P10                          ,P,1L10,1,L,UF,30,10,One-time,Fertilizer,30/01/2025 17:05,0.681,7533,-389,108,2253,17998,5949,-21,55574,1.46,567.739,5,151,5938,58,10.568,-561,1544,1138,-670,2616,1094,1997,7626,22.6,600.488,11,271,-621,165
