,df,Plant type,Treatment,Dose ,Plant_Height_BF (cm),Stem_countperPot_BF (no.),Fresh_biomass_BF (gm),Dry_biomass_BF (gm),Fresh_biomass_AF_30days(gm),Dry_biomass_AF_30days(gm),Plant_Height_Harvestday(cm),Stem_count_HarvestDay(no.),Root Length (cm),Nodules Count(no.),Fresh Biomass_harvestday (gm),Shoot Biomass_harvestday dry ,Root Biomass_harvestday(gm),Root Biomass_harvestday dry ,R:S ratio,P(g/kg) dw soil,NH4(g/kg) dw soil,NO3(g/kg) dw soil
1,A,L,1,UF_100 ,8.900,8.000,13.730,4.380,14.730,4.370,40.500,18.000,30.000,0.000,40.870,29.200,9.360,7.040,0.241,1.911,0.608,0.636
2,A,L,1,UF_100 ,22.000,6.000,14.000,4.410,14.670,4.350,48.600,20.000,31.000,0.000,44.300,29.620,11.730,6.810,0.230,1.882,0.650,0.549
3,A,L,1,UF_100 ,21.600,7.000,15.000,4.430,15.140,4.220,41.600,17.000,32.000,0.000,40.940,28.000,10.360,5.290,0.189,1.734,1.551,2.195
4,A,L,1,UF_100 ,17.000,8.000,17.500,4.400,17.430,4.210,45.900,18.000,27.000,0.000,43.440,28.800,10.840,6.080,0.211,1.289,-0.010,0.014
5,A,L,2,UF_100 ,15.800,7.000,15.100,4.230,15.100,4.190,50.600,17.000,0.000,0.000,41.950,28.690,14.020,6.400,0.223,1.592,0.372,0.571
6,A,L,2,UF_200,24.600,4.000,10.000,4.300,6.900,4.200,40.200,1.000,0.000,0.000,NA,NA,5.229,4.810,NA,1.868,2.175,2.370
7,A,L,2,UF_200,19.400,6.000,11.000,4.300,5.860,4.210,21.500,4.000,0.000,0.000,NA,NA,5.140,4.760,NA,1.669,0.432,0.284
8,A,L,2,UF_200,17.000,6.000,12.000,4.290,10.770,4.230,29.000,11.000,0.000,0.000,NA,NA,6.030,5.350,NA,1.983,2.028,1.553
9,A,L,2,UF_200,12.300,7.000,8.000,4.470,0.000,4.290,0.000,0.000,27.000,0.000,NA,NA,4.750,4.410,NA,1.973,2.462,2.189
10,A,L,2,UF_200,16.400,6.000,17.240,4.470,18.140,4.140,47.200,12.000,28.000,0.000,NA,NA,6.030,5.280,NA,2.506,0.547,0.517
