Sample Name,Plant type,Fertilizer_Type,Dose (N kg/ha),Weeks after planting ,Sampling time point t0 (min),t1 (min),t2(min),Test Name,BF flux (umol/min/m2),AF_1stday_flux (umol/min/m2),AF_3rdday_flux (umol/min/m2),AF_5thday_flux (umol/min/m2),AF_7thday_flux (umol/min/m2)
A1,L,UF,100,13,0,30,60,CH4,-0.25269073,0,-0.804579449,3.012048449,2.554498432
A2,L,UF,100,13,0,30,60,CH4,0.075321019,-0.477883489,0.195612634,2.782267491,3.156496827
A3,L,UF,100,13,0,30,60,CH4,0.044541476,0.175265904,0.358746283,2.922242084,2.877628944
A6,L,UF,200,13,0,30,60,CH4,-0.505547689,-0.100610996,0.413778964,3.046631523,2.953062053
A7,L,UF,200,13,0,30,60,CH4,0.532561121,0.099348184,0.19253204,3.2285337,3.024546582
A8,L,UF,200,13,0,30,60,CH4,-0.174579871,0.22370623,-0.103354448,3.085208405,2.73880213
A11,L,MF,100,13,0,30,60,CH4,0.012980159,-0.70586062,0.256145991,3.097046725,3.091571801
A12,L,MF,100,13,0,30,60,CH4,-0.243014414,-0.223107173,0.008361459,3.026565941,2.939533552
A13,L,MF,100,13,0,30,60,CH4,-0.113021169,-0.210100877,-0.238146341,2.830675692,2.79515124
A16,L,MF,200,13,0,30,60,CH4,0.308736242,-0.147369314,-0.247527808,2.865417463,3.199363048
A17,L,MF,200,13,0,30,60,CH4,-0.774456719,-0.005121513,-0.413345003,2.883760744,2.914724936
A18,L,MF,200,13,0,30,60,CH4,0.383651389,-0.184739321,0.026781749,3.108045698,2.944339694
A21,L,None,0,13,0,30,60,CH4,0.11644229,0.224668295,-0.016778371,2.751332475,3.167986682
A22,L,None,0,13,0,30,60,CH4,-0.017779464,-0.297959921,-0.538294386,2.710481391,2.606563525
A23,L,None,0,13,0,30,60,CH4,-0.031308166,0.153067097,-0.544890071,2.983206355,3.135410166
B1,P,UF,100,13,0,30,60,CH4,-0.131051566,-0.097275641,-0.403634565,2.087692968,2.982474411
B2,P,UF,100,13,0,30,60,CH4,-0.127452083,0.300958015,-0.00391284,3.137161208,2.861842994
B3,P,UF,100,13,0,30,60,CH4,-0.371312439,0.301202978,-0.007047491,2.981346371,2.873205382
B6,P,UF,200,13,0,30,60,CH4,-0.461460498,0.305530285,0.470523999,3.18778931,2.951468502
B7,P,UF,200,13,0,30,60,CH4,-0.527286486,0.149519782,-0.354837319,2.566132087,2.669628301
B8,P,UF,200,13,0,30,60,CH4,-0.058149422,0.208213768,-0.049630043,2.832180991,2.876526269
B11,P,MF,100,13,0,30,60,CH4,0.326854318,-0.030884982,0.005111938,2.797135988,3.248627423
B12,P,MF,100,13,0,30,60,CH4,-0.440257588,0.355075394,-0.310998207,2.849656651,2.982097656
B13,P,MF,100,13,0,30,60,CH4,-0.321365197,0.105557567,-0.015181093,2.737249337,2.681740917
B16,P,MF,200,13,0,30,60,CH4,0.071891973,-0.458388917,-0.273561453,2.760150769,2.599146507
B17,P,MF,200,13,0,30,60,CH4,-0.537484268,-0.826523563,-0.229010144,2.976282258,2.933878467
B18,P,MF,200,13,0,30,60,CH4,-0.446869621,-0.058034906,0.015023908,2.833823957,2.748165066
B21,P,None,0,13,0,30,60,CH4,0.281370115,-0.600862102,0.203198311,2.683335172,2.937219614
B22,P,None,0,13,0,30,60,CH4,0.096529944,-0.008774705,-0.457840489,2.615818758,2.740636656
B23,P,None,0,13,0,30,60,CH4,0.334755879,0.341669746,0.328914449,2.708207665,3.048972006
A1,L,UF,100,13,0,30,60,CO2,1386.384122,-285.6279163,660.6718585,1517.517425,1331.925984
A2,L,UF,100,13,0,30,60,CO2,2943.448033,994.111367,1125.908393,1666.232543,1447.069855
A3,L,UF,100,13,0,30,60,CO2,3028.355783,1129.35544,944.2825685,1589.86354,1234.367091
A6,L,UF,200,13,0,30,60,CO2,821.2185369,680.1995352,574.0348681,1136.745463,1023.286514
A7,L,UF,200,13,0,30,60,CO2,1024.551054,641.6027622,338.3527491,1055.620174,925.1448102
A8,L,UF,200,13,0,30,60,CO2,2544.961474,1179.303094,639.8104379,1182.587793,872.4963494
A11,L,MF,100,13,0,30,60,CO2,3338.962676,1236.980977,737.8467448,1405.850087,1503.909137
A12,L,MF,100,13,0,30,60,CO2,2520.703003,1347.164658,851.218492,1441.600376,1579.740401
A13,L,MF,100,13,0,30,60,CO2,2374.755371,1132.201487,616.01747,1689.877258,1610.54479
A16,L,MF,200,13,0,30,60,CO2,3607.593119,1007.642922,766.119455,1733.098115,1460.624452
A17,L,MF,200,13,0,30,60,CO2,3062.662178,1079.59265,1244.774328,1764.592166,1947.320741
A18,L,MF,200,13,0,30,60,CO2,3084.374443,1288.85248,1237.567195,1370.142187,1503.919477
A21,L,None,0,13,0,30,60,CO2,2180.817963,1040.350745,592.1860035,1341.911586,1394.443902
A22,L,None,0,13,0,30,60,CO2,2731.450076,1236.051524,983.8070715,1921.473782,1435.250871
A23,L,None,0,13,0,30,60,CO2,3562.24192,1320.881602,432.2258795,1448.710755,1677.358033
B1,P,UF,100,13,0,30,60,CO2,3243.914097,817.460163,1142.552701,1076.585722,1460.234507
B2,P,UF,100,13,0,30,60,CO2,4427.317496,1670.542226,491.7827583,1341.279308,1259.664539
B3,P,UF,100,13,0,30,60,CO2,4541.249329,1159.503909,1313.875416,1612.513831,1337.999027
B6,P,UF,200,13,0,30,60,CO2,4624.250795,912.8298378,976.2923911,1258.434862,1134.736421
B7,P,UF,200,13,0,30,60,CO2,1304.401998,508.2629899,800.4575348,757.4643605,1179.997864
B8,P,UF,200,13,0,30,60,CO2,3638.517773,1271.005347,353.5801323,1283.305821,1179.9984
B11,P,MF,100,13,0,30,60,CO2,1560.377434,1856.365459,113.798671,1383.108301,1815.272983
B12,P,MF,100,13,0,30,60,CO2,647.0364356,2108.45508,467.7377806,1374.555488,1441.741101
B13,P,MF,100,13,0,30,60,CO2,1135.16662,926.8825297,1021.687407,1641.303898,1684.925708
B16,P,MF,200,13,0,30,60,CO2,1597.445207,909.2608996,1214.199083,1588.362851,1684.981288
B17,P,MF,200,13,0,30,60,CO2,1530.715718,1619.884261,1264.862413,1830.715889,1515.515491
B18,P,MF,200,13,0,30,60,CO2,1520.357402,1738.373894,682.4242469,1535.454736,1677.911235
B21,P,None,0,13,0,30,60,CO2,2142.481572,-124.2269293,1401.749623,3121.696763,2874.0493
B22,P,None,0,13,0,30,60,CO2,2300.192205,-164.4192915,1155.680764,2960.112464,3265.559336
B23,P,None,0,13,0,30,60,CO2,2033.042079,929.8618819,1554.769745,2205.40637,2814.217103
A1,L,UF,100,13,0,30,60,N2O,-0.01074387,-0.025087618,-0.048472964,0.418242318,0.354658851
A2,L,UF,100,13,0,30,60,N2O,0.029980972,-0.062931832,0.040223451,0.407661408,0.436165199
A3,L,UF,100,13,0,30,60,N2O,0.0077272,0.002147938,0.059552303,0.403316041,0.394176466
A6,L,UF,200,13,0,30,60,N2O,2.342562221,4.713349222,7.170020014,8.068511315,1.543044919
A7,L,UF,200,13,0,30,60,N2O,6.318924077,5.511222348,5.857055805,6.858374128,1.635500595
A8,L,UF,200,13,0,30,60,N2O,10.68870794,5.562353908,5.945653971,4.308204305,1.108505367
A11,L,MF,100,13,0,30,60,N2O,0.034346124,-0.057013803,0.050898743,0.413078807,0.416842979
A12,L,MF,100,13,0,30,60,N2O,-0.006175288,-0.014722331,0.020990274,0.414366852,0.395132495
A13,L,MF,100,13,0,30,60,N2O,0.000513942,-0.020377357,-0.022322719,0.387721606,0.381150918
A16,L,MF,200,13,0,30,60,N2O,0.052201528,-0.024474759,0.004439049,0.404872272,0.418394755
A17,L,MF,200,13,0,30,60,N2O,-0.06353096,-0.022340757,0.01238337,0.398601448,0.39955239
A18,L,MF,200,13,0,30,60,N2O,0.060454424,-0.002358179,0.393888435,0.438929229,0.391878846
A21,L,None,0,13,0,30,60,N2O,0.048214599,0.007388932,0.074161042,0.399461225,0.459553493
A22,L,None,0,13,0,30,60,N2O,0.019234923,-0.066551626,-0.047119773,0.380554318,0.349477738
A23,L,None,0,13,0,30,60,N2O,0.022609513,0.039279356,-0.010519799,0.413014043,0.414086264
B1,P,UF,100,13,0,30,60,N2O,-0.000441967,0.043903691,-0.024171121,0.286532535,0.395966313
B2,P,UF,100,13,0,30,60,N2O,-0.01464401,0.045924407,-0.000185806,0.411905357,0.379134407
B3,P,UF,100,13,0,30,60,N2O,-0.025582881,-0.049962904,0.009050262,0.403935519,0.383017
B6,P,UF,200,13,0,30,60,N2O,-0.033475018,0.082471405,0.054766852,0.405736615,0.391347862
B7,P,UF,200,13,0,30,60,N2O,3.696249731,0.028192221,-0.023263992,0.568976652,0.362372685
B8,P,UF,200,13,0,30,60,N2O,0.00814195,0.081922184,-0.00580643,0.382903999,0.394170082
B11,P,MF,100,13,0,30,60,N2O,0.037942332,0.037424008,0.109889555,0.427206546,0.412098493
B12,P,MF,100,13,0,30,60,N2O,-0.051310724,0.083908329,0.834839582,0.389921378,0.438164741
B13,P,MF,100,13,0,30,60,N2O,-0.031087429,-0.005087186,0.446109571,0.313874315,0.387053559
B16,P,MF,200,13,0,30,60,N2O,0.011439292,-0.038302712,0.805176733,0.413508972,0.368932787
B17,P,MF,200,13,0,30,60,N2O,-0.027320781,-0.000806237,1.357668762,0.489226799,0.397106599
B18,P,MF,200,13,0,30,60,N2O,-0.021796337,0.000763,1.424798949,0.466898101,0.391235937
B21,P,None,0,13,0,30,60,N2O,0.039619767,0.034033578,0.01626607,0.435384406,0.502464791
B22,P,None,0,13,0,30,60,N2O,0.036258135,-0.060352958,-0.018311889,0.375280366,0.404871308
B23,P,None,0,13,0,30,60,N2O,0.043658477,0.086635711,0.068438568,0.391257993,0.41070699
